date,cash,holdings_value,equity,n_positions
2018-05-08,13.292376816676324,28373.911433763104,28387.20381057978,56
2018-05-09,13.292376816676324,28631.661740911448,28644.954117728124,56
2018-05-10,40.56999053331583,28799.625881450575,28840.19587198389,56
2018-05-11,40.56999053331583,28782.030533425077,28822.600523958394,56
2018-05-14,40.56999053331583,28746.569317196165,28787.13930772948,56
2018-05-15,475.71011400036934,28102.12522288161,28577.835336881977,55
2018-05-16,475.71011400036934,28210.970183183603,28686.68029718397,55
2018-05-17,475.71011400036934,28269.432371473547,28745.142485473916,55
2018-05-18,475.71011400036934,28240.052919887956,28715.763033888325,55
2018-05-21,475.71011400036934,28400.807097520035,28876.517211520404,55
2018-05-22,56.697080537993315,28763.738888768738,28820.43596930673,56
2018-05-23,56.697080537993315,28741.168218670668,28797.86529920866,56
2018-05-24,96.27254504950031,28667.267299974243,28763.539845023744,56
2018-05-25,96.27254504950031,28635.594150041838,28731.86669509134,56
2018-05-29,96.27254504950031,28218.901207495055,28315.173752544557,56
2018-05-30,96.27254504950031,28573.211537656185,28669.484082705687,56
2018-05-31,65.30114976340496,28339.353712815042,28404.654862578445,56
2018-06-01,65.30114976340496,28497.059092631123,28562.360242394527,56
2018-06-04,65.30114976340496,28605.82337332817,28671.124523091574,56
2018-06-05,102.30172446113443,28509.32713234788,28611.628856809013,56
2018-06-06,102.30172446113443,28728.11062530888,28830.412349770013,56
2018-06-07,117.64959064418406,28702.638299474642,28820.287890118827,56
2018-06-08,117.64959064418406,28857.77170360134,28975.421294245523,56
2018-06-11,117.64959064418406,28868.044211728367,28985.693802372552,56
2018-06-12,117.64959064418406,28948.92377710703,29066.573367751214,56
2018-06-13,117.64959064418406,28822.827495150155,28940.47708579434,56
2018-06-14,117.64959064418406,28904.98999404364,29022.639584687826,56
2018-06-15,117.64959064418406,28948.087468494592,29065.737059138777,56
2018-06-18,520.3108548906284,28424.873511580274,28945.1843664709,55
2018-06-19,563.3541017950082,28283.215856536142,28846.56995833115,55
2018-06-20,98.42509742991956,28695.00482417022,28793.429921600142,56
2018-06-21,98.42509742991956,28648.037324985606,28746.462422415527,56
2018-06-22,98.42509742991956,28771.86488257084,28870.28998000076,56
2018-06-25,98.42509742991956,28640.982251608344,28739.407349038265,56
2018-06-26,98.42509742991956,28660.63222372228,28759.057321152202,56
2018-06-27,98.42509742991956,28471.120218194224,28569.545315624146,56
2018-06-28,532.8069233354419,28112.19445983108,28645.001383166524,55
2018-06-29,557.2777288480902,28081.37064015916,28638.64836900725,55
2018-07-02,557.2777288480902,28102.70471550417,28659.98244435226,55
2018-07-03,557.2777288480902,28063.861601557226,28621.139330405316,55
2018-07-05,557.2777288480902,28265.16624881678,28822.44397766487,55
2018-07-06,557.2777288480902,28555.648943063894,29112.926671911984,55
2018-07-09,545.4716797438809,28772.789754890386,29318.261434634267,55
2018-07-10,545.4716797438809,28836.725782210586,29382.197461954467,55
2018-07-11,470.0091546964202,28630.5532965037,29100.56245120012,55
2018-07-12,470.0091546964202,28802.766381985806,29272.775536682228,55
2018-07-13,470.0091546964202,28773.116663644963,29243.125818341385,55
2018-07-16,564.1761417940198,28673.431976512093,29237.608118306114,55
2018-07-17,564.1761417940198,28777.21961826968,29341.3957600637,55
2018-07-18,445.9317803973328,29039.11542772531,29485.047208122643,55
2018-07-19,444.0008549627511,28874.63561464573,29318.636469608482,55
2018-07-20,444.0008549627511,28817.34007597989,29261.340930942642,55
2018-07-23,444.0008549627511,28813.693439189745,29257.694294152498,55
