Symbol,CAGR,Sharpe,MaxDD,Final_Equity,Trades,Signal-to-Profit
QCOM,0.12363834344507185,0.5813606334690476,-0.3735021484952067,3.5515026051424976,30,0.8
FAST,0.12300259066827723,0.64139243904228,-0.31063940062749773,3.529716933127232,35,0.7428571428571429
LLY,0.1191708697069922,0.7359001042442043,-0.2459120302164154,3.4009629644422414,37,0.7837837837837838
MMC,0.11809164885834944,0.8901418211522574,-0.17022997437889986,3.3654767793970426,38,0.8947368421052632
GWW,0.11749515319107617,0.6741141452911018,-0.28103338276766054,3.34600781689096,39,0.7948717948717948
GOOGL,0.11743739221863825,0.6582885310911121,-0.2771416482096557,3.3441280038321346,34,0.7647058823529411
CTSH,0.1173919522058462,0.5882488549532885,-0.32612444419688835,3.342649846607451,34,0.7647058823529411
SPGI,0.11721034790970708,0.6865207108465438,-0.3025599834802447,3.336748206080356,33,0.7272727272727273
NSC,0.1160566370470757,0.670753949609719,-0.3713465446440941,3.2994762199997982,36,0.7777777777777778
A,0.11577123251460963,0.6082113283239063,-0.251598006345257,3.2903144123216266,37,0.7567567567567568
TXT,0.11538772332813019,0.5256505024737508,-0.41972557906433594,3.2780397096949114,24,0.6666666666666666
NEE,0.1151244338310724,0.9744300232993152,-0.137676213375988,3.269636879519254,47,0.851063829787234
SBUX,0.11453927853997392,0.6375212565814005,-0.37820991530518433,3.2510317629290033,39,0.8461538461538461
NI,0.11436263465521135,0.7178914881426021,-0.3640291265760093,3.245434259382254,46,0.8913043478260869
HRL,0.11407506955274416,0.7850557131639629,-0.2926069197281068,3.236340593266595,40,0.85
DHR,0.11337460196692639,0.7484775701697456,-0.2507142238039647,3.2142864566250147,41,0.8048780487804879
PLD,0.11284434070628224,0.6324466414032359,-0.31658808462455923,3.1976820978060756,36,0.8055555555555556
LEN,0.11235257759102346,0.5138615433374585,-0.5223560205016757,3.182352901124986,28,0.8214285714285714
PPG,0.11225949158010806,0.6257589429024604,-0.4584155117495041,3.179458754227662,39,0.8461538461538461
MSI,0.11155970123024295,0.6425527071461734,-0.3525152231608687,3.1577779003208417,39,0.8461538461538461
AAPL,0.11094273843318248,0.6081363977728623,-0.4368225948816279,3.1387746487531882,34,0.8235294117647058
CF,0.10928498056999492,0.48081599850312695,-0.6889494801501468,3.08822679200021,34,0.8235294117647058
SYK,0.10911885001427724,0.6769836257291838,-0.35089333376859255,3.0832021605510906,34,0.8529411764705882
SHW,0.10802089673710968,0.6187359159546312,-0.3362269772805081,3.0501806931716886,36,0.8055555555555556
BIIB,0.10777500801857776,0.46842905395219026,-0.46650721625984826,3.0428296289722323,29,0.7586206896551724
ETN,0.10717390295224805,0.5980615797831771,-0.3458443337084287,3.024926735714083,31,0.7419354838709677
PCAR,0.10684132520568324,0.5636149803191164,-0.39720144869750473,3.0150626227817203,39,0.7435897435897436
ADI,0.10642831703407718,0.592063668268849,-0.26884911036546644,3.002853638649536,42,0.8571428571428571
EL,0.10507307601242943,0.590184176853386,-0.3284963091414711,2.963105855407627,35,0.8
AVB,0.1044262100928468,0.6823317629963648,-0.22702165153893106,2.944302920731217,33,0.7878787878787878
